id;name;favorite;create_date;user_id
1;about tennis;false;2025-03-21T07:14:27;2
2;parallel giant mortally;true;2025-03-21T05:05:42;1
3;waterlogged excluding;false;2025-03-21T09:26:46;1
4;repurpose drat;false;2025-03-21T07:45:28;2
5;utterly bemuse;false;2025-03-21T18:47:30;1
6;rebuke fence;false;2025-03-21T18:30:33;2
7;soft;false;2025-03-21T07:10:32;2
8;bustling forager;true;2025-03-21T20:26:55;1
9;indeed anti yesterday;false;2025-03-21T07:45:20;1
10;confiscate including;false;2025-03-21T17:20:08;1
